,city,country,cloudiness,date,humidity,lat,lng,max_temp,wind_speed
59,Zverinogolovskoye,RU,0,Thu May 30 12:59:52 2019,57,54.46,64.85,61.64060000000008,3.7356898000000003
60,Bulaevo,KZ,16,Thu May 30 12:59:52 2019,68,54.91,70.44,54.26060000000003,9.1490846
61,Mahebourg,MU,20,Thu May 30 12:59:52 2019,77,-20.41,57.7,69.00800000000001,8.052984
62,Pisco,PE,20,Thu May 30 12:59:52 2019,30,-13.71,-76.2,71.6,9.171454
63,Ushuaia,AR,20,Thu May 30 12:59:52 2019,60,-54.81,-68.31,41.0,10.289924
64,Tuktoyaktuk,CA,20,Thu May 30 12:59:52 2019,80,69.44,-133.03,33.8,13.869028000000002
65,Yerbogachen,RU,100,Thu May 30 12:59:52 2019,47,61.28,108.01,46.34060000000007,6.4423872
66,Udine,IT,40,Thu May 30 12:59:52 2019,68,46.06,13.24,66.2,5.816044000000001
67,Bluff,AU,99,Thu May 30 12:59:52 2019,37,-23.58,149.07,55.880599999999994,20.132460000000002
68,Nanortalik,GL,0,Thu May 30 12:59:52 2019,66,60.14,-45.24,40.940600000000074,6.822667
69,Vaini,IN,89,Thu May 30 12:59:52 2019,81,15.34,74.49,81.80060000000006,4.362033
70,Lovington,US,75,Thu May 30 12:59:52 2019,52,32.94,-103.35,73.00400000000005,11.408394
71,Hokitika,NZ,85,Thu May 30 12:59:52 2019,73,-42.72,170.96,49.22060000000001,5.5476112
72,Zaysan,KZ,72,Thu May 30 12:59:52 2019,43,47.47,84.87,61.28059999999999,9.372778600000002
73,Sergeyevka,KZ,0,Thu May 30 12:59:52 2019,49,53.88,67.42,60.74060000000007,3.6462122
74,Carnarvon,ZA,90,Thu May 30 12:59:52 2019,24,-30.97,22.13,62.360600000000034,7.202946800000001
75,Manta,RO,0,Thu May 30 12:59:52 2019,78,45.1,24.1,62.540600000000076,4.250186
76,Dongsheng,CN,14,Thu May 30 12:59:52 2019,70,29.72,112.52,69.92060000000001,2.9974996000000003
77,Mount Pleasant,US,75,Thu May 30 12:59:52 2019,69,33.16,-94.97,80.6,8.052984
78,Davila,PH,100,Thu May 30 12:59:52 2019,75,18.47,120.58,83.24060000000007,5.1673314
79,Sawtell,AU,0,Thu May 30 12:59:52 2019,45,-30.38,153.1,48.2,6.934514000000001
80,Sabang,PH,93,Thu May 30 12:59:52 2019,77,13.72,123.58,84.6806,8.075353400000001
81,Cape Town,ZA,0,Thu May 30 12:59:52 2019,82,-33.93,18.42,60.998000000000026,3.35541
82,Pimentel,BR,47,Thu May 30 12:59:52 2019,76,-3.7,-45.5,83.96060000000003,4.7199434
83,Katsuura,JP,75,Thu May 30 12:59:52 2019,72,33.93,134.5,69.99800000000002,4.697574
84,Manacapuru,BR,75,Thu May 30 12:59:52 2019,83,-3.3,-60.62,80.6,3.35541
85,Paka,HR,90,Thu May 30 12:59:52 2019,87,45.29,18.06,55.99400000000007,12.750558000000002
86,Esil,KZ,66,Thu May 30 12:59:52 2019,40,51.96,66.41,64.52060000000002,5.7489358
87,Luderitz,NA,89,Thu May 30 12:59:52 2019,82,-26.65,15.16,59.0,2.23694
88,Jinchang,CN,100,Thu May 30 12:59:52 2019,48,38.52,102.19,54.980599999999995,9.0148682
89,Matagami,NG,100,Thu May 30 12:59:52 2019,76,9.67,8.4,76.58059999999999,2.9080220000000003
90,Oussouye,SN,0,Thu May 30 12:59:52 2019,65,12.49,-16.54,91.4,9.171454
91,Nikolskoye,RU,0,Thu May 30 12:59:52 2019,24,59.7,30.79,59.0,4.47388
92,Gandorhun,SL,95,Thu May 30 12:59:52 2019,75,8.44,-10.86,82.16060000000003,6.129215600000001
93,Sapa,PH,20,Thu May 30 12:59:52 2019,70,14.32,120.76,86.0,4.697574
94,Palmer,AU,90,Thu May 30 12:59:52 2019,76,-34.85,139.16,53.6,5.816044000000001
95,Chicama,PE,90,Thu May 30 12:59:52 2019,83,-7.84,-79.15,69.8,11.408394
96,Petropavlovsk-Kamchatskiy,RU,90,Thu May 30 12:59:52 2019,93,53.05,158.65,39.2,4.47388
97,Hithadhoo,MV,100,Thu May 30 12:59:52 2019,79,-0.6,73.08,81.62060000000001,10.1109688
98,Hilo,US,90,Thu May 30 12:59:52 2019,73,19.71,-155.08,75.00200000000008,8.052984
99,Mar del Plata,AR,1,Thu May 30 12:59:52 2019,40,-46.43,-67.52,44.540600000000076,8.097722800000001
100,Mataura,NZ,39,Thu May 30 12:59:52 2019,86,-46.19,168.86,40.58059999999999,3.9593838000000003
101,Tura,IN,3,Thu May 30 12:59:52 2019,88,25.52,90.21,77.30060000000006,6.5766036
102,Avarua,CK,75,Thu May 30 12:59:52 2019,78,-21.21,-159.78,75.2,9.171454
103,Kapit,MY,100,Thu May 30 12:59:52 2019,89,2.02,112.94,76.22060000000002,1.3421640000000001
104,Punta Arenas,CL,0,Thu May 30 12:59:52 2019,71,-53.16,-70.91,39.2,6.934514000000001
105,Khatanga,RU,98,Thu May 30 12:59:52 2019,89,71.98,102.47,40.58059999999999,13.041360200000002
106,Puerto Leguizamo,CO,77,Thu May 30 12:59:52 2019,43,-0.19,-74.78,94.40060000000005,2.5053728000000004
107,Ribeira Grande,PT,40,Thu May 30 12:59:52 2019,94,38.52,-28.7,68.0,8.052984
108,Saurimo,AO,95,Thu May 30 12:59:52 2019,40,-9.66,20.4,75.86060000000003,4.6304658
109,Pacific Grove,US,75,Thu May 30 12:59:52 2019,67,36.62,-121.92,64.00400000000005,8.052984
110,Albany,US,40,Thu May 30 12:59:52 2019,72,42.65,-73.75,71.99600000000005,5.816044000000001
111,Roros,NO,87,Thu May 30 12:59:52 2019,80,62.57,11.38,35.6,13.869028000000002
112,Thompson,CA,90,Thu May 30 12:59:52 2019,71,55.74,-97.86,39.2,3.35541
113,Byron Bay,AU,0,Thu May 30 12:59:52 2019,52,-28.65,153.62,51.8,5.816044000000001
114,Giyani,ZA,7,Thu May 30 12:59:52 2019,52,-23.32,30.73,64.16060000000003,1.677705
115,Cabo San Lucas,MX,5,Thu May 30 12:59:52 2019,54,22.89,-109.91,86.0,11.408394
116,Tadine,NC,79,Thu May 30 12:59:52 2019,72,-21.55,167.88,73.70060000000005,6.1963238
117,Port Moresby,PG,40,Thu May 30 12:59:52 2019,94,-9.47,147.16,77.0,5.816044000000001
118,Kavieng,PG,48,Thu May 30 12:59:52 2019,76,-2.57,150.8,84.32060000000001,11.9005208
119,Jamestown,AU,0,Thu May 30 12:59:52 2019,89,-33.21,138.6,44.360600000000034,2.9080220000000003
120,Taoudenni,ML,6,Thu May 30 12:59:52 2019,10,22.68,-3.98,105.02060000000002,7.9858758000000005
121,Point Pedro,LK,72,Thu May 30 12:59:52 2019,85,9.82,80.23,84.14060000000008,26.485369600000002
122,Torbay,CA,20,Thu May 30 12:59:52 2019,70,47.66,-52.73,51.998000000000026,14.987498000000002
123,Codrington,AU,0,Thu May 30 12:59:52 2019,55,-28.95,153.24,46.4,6.934514000000001
124,Kiruna,SE,30,Thu May 30 12:59:52 2019,39,67.86,20.23,48.2,12.750558000000002
125,Cheney,US,1,Thu May 30 12:59:52 2019,52,47.49,-117.58,77.0,8.052984
126,Longyearbyen,NO,75,Thu May 30 12:59:52 2019,64,78.22,15.63,33.8,26.395892000000003
127,Qaqortoq,GL,20,Thu May 30 12:59:52 2019,14,60.72,-46.03,60.8,20.803542000000004
128,Aracuai,BR,18,Thu May 30 12:59:52 2019,47,-16.85,-42.07,83.78059999999999,5.4581336
129,Ilo,PE,75,Thu May 30 12:59:52 2019,68,-17.65,-71.34,69.8,9.171454
130,Huilong,CN,0,Thu May 30 12:59:52 2019,91,28.89,110.18,60.380599999999994,0.3579104
131,Gubkinskiy,RU,97,Thu May 30 12:59:52 2019,76,64.43,76.5,35.360600000000034,16.105968
132,Douglas,US,90,Thu May 30 12:59:52 2019,67,58.28,-134.39,57.2,12.750558000000002
133,Faanui,PF,42,Thu May 30 12:59:52 2019,68,-16.48,-151.75,80.72060000000002,4.6528352
134,Coquimbo,CL,75,Thu May 30 12:59:52 2019,59,-29.95,-71.34,68.0,9.171454
135,Paracuru,BR,75,Thu May 30 12:59:52 2019,88,-3.41,-39.03,82.00400000000005,10.289924
136,Sioux Lookout,CA,75,Thu May 30 12:59:52 2019,41,50.1,-91.92,57.2,5.816044000000001
137,Hambantota,LK,100,Thu May 30 12:59:52 2019,82,6.12,81.12,82.16060000000003,18.007367000000002
138,Namatanai,PG,85,Thu May 30 12:59:52 2019,87,-3.66,152.44,78.02060000000002,6.3081708
139,Manggar,ID,100,Thu May 30 12:59:52 2019,94,-2.88,108.27,77.4806,3.3777794
140,Berlevag,NO,75,Thu May 30 12:59:52 2019,80,70.86,29.09,41.0,20.803542000000004
141,Yellowknife,CA,75,Thu May 30 12:59:52 2019,69,62.45,-114.38,33.8,3.35541
142,Sobolevo,RU,56,Thu May 30 12:59:52 2019,76,54.43,31.9,61.82060000000001,8.231939200000001
143,El Tocuyo,VE,75,Thu May 30 12:59:52 2019,65,9.79,-69.8,78.8,12.750558000000002
144,Boddam,GB,75,Thu May 30 12:59:52 2019,87,57.47,-1.78,46.4,8.052984
145,Chokurdakh,RU,100,Thu May 30 12:59:52 2019,88,70.62,147.9,31.760600000000032,14.8309122
146,Isakly,RU,1,Thu May 30 12:59:52 2019,82,54.13,51.53,67.76060000000004,5.4133948
147,Redlands,US,1,Thu May 30 12:59:52 2019,60,34.06,-117.19,82.99400000000007,5.637088800000001
148,Cap Malheureux,MU,20,Thu May 30 12:59:52 2019,77,-19.98,57.61,69.00800000000001,8.052984
149,North Battleford,CA,1,Thu May 30 12:59:52 2019,36,52.78,-108.3,77.0,16.105968
150,Kruisfontein,ZA,80,Thu May 30 12:59:52 2019,84,-34.0,24.73,57.68059999999999,5.1897008
151,Kjopsvik,NO,75,Thu May 30 12:59:52 2019,61,68.1,16.37,48.00200000000008,25.277422000000005
152,Atambua,ID,22,Thu May 30 12:59:52 2019,72,-9.11,124.89,81.44060000000007,20.042982400000003
153,Shizunai,JP,73,Thu May 30 12:59:52 2019,86,42.33,142.37,54.980599999999995,9.2385622
154,Murmashi,RU,20,Thu May 30 12:59:52 2019,61,68.82,32.82,50.0,6.71082
155,Maniitsoq,GL,90,Thu May 30 12:59:52 2019,54,65.42,-52.9,47.960600000000035,9.9991218
156,Zhigansk,RU,0,Thu May 30 12:59:52 2019,85,66.77,123.37,35.72060000000001,11.318916399999999
157,Harper,US,90,Thu May 30 12:59:52 2019,73,30.3,-99.24,82.99400000000007,6.934514000000001
158,Puerto Ayora,EC,20,Thu May 30 12:59:52 2019,74,-0.74,-90.35,78.8,20.803542000000004
159,Kosh-Agach,RU,69,Thu May 30 12:59:52 2019,43,49.99,88.66,48.32060000000001,7.046361
160,Kysyl-Syr,RU,22,Thu May 30 12:59:52 2019,52,63.9,122.77,44.72060000000001,5.8384134
161,Oranjemund,ZA,84,Thu May 30 12:59:52 2019,92,-28.55,16.43,56.60060000000006,8.5898496
162,Northview,US,1,Thu May 30 12:59:52 2019,46,37.29,-93.0,75.00200000000008,17.224438000000003
163,Cockburn Town,TC,0,Thu May 30 12:59:52 2019,80,21.46,-71.14,80.54060000000007,13.488748200000002
164,Necochea,AR,100,Thu May 30 12:59:52 2019,61,-38.55,-58.74,53.00600000000003,5.4357642
165,Dikson,RU,93,Thu May 30 12:59:52 2019,88,73.51,80.55,31.760600000000032,23.3536536
166,Sibolga,ID,100,Thu May 30 12:59:52 2019,76,1.74,98.78,83.78059999999999,5.2791784
167,Xining,CN,91,Thu May 30 12:59:52 2019,62,36.62,101.77,43.82060000000001,2.0579848000000003
168,Svetlaya,RU,100,Thu May 30 12:59:52 2019,90,46.54,138.33,49.58059999999999,4.2278166
169,Shingu,JP,99,Thu May 30 12:59:52 2019,53,33.72,135.99,51.020600000000016,3.690951
170,North Bend,US,90,Thu May 30 12:59:52 2019,87,43.41,-124.22,59.0,13.869028000000002
171,Alice Springs,AU,0,Thu May 30 12:59:52 2019,56,-23.7,133.88,42.8,6.934514000000001
172,San Jose,PH,96,Thu May 30 12:59:52 2019,75,15.79,120.99,82.34060000000008,1.7000744
173,Kutum,SD,76,Thu May 30 12:59:52 2019,31,14.2,24.66,87.38059999999999,3.3777794
174,Hun,BE,20,Thu May 30 12:59:52 2019,63,50.34,4.87,69.99800000000002,11.408394
175,Tarabha,IN,91,Thu May 30 12:59:52 2019,24,20.73,83.65,95.4806,8.3661556
176,Uige,AO,73,Thu May 30 12:59:52 2019,82,-7.61,15.06,71.90060000000005,3.4896264000000006
177,Moose Factory,CA,90,Thu May 30 12:59:52 2019,65,51.26,-80.61,41.0,10.289924
178,Inuvik,CA,75,Thu May 30 12:59:52 2019,56,68.36,-133.71,42.8,4.697574
